Place,Player,Registration code,Advertiser,Profile,Cardroom,Chips,Bets + fees,Total win,Jackpot win
9,bstcod,8568390175,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
10,GCDFTM,8568395580,defaultskypoker.com,-,skypoker.com,0,€1.00,€0.00,0
11,ZerrosPorke,8568392245,defaultbetsson.pe,-,betsson.pe,0,€1.00,€0.00,0
12,Spee,8568392978,default5h,-,bet365poker.gr,0,€1.00,€0.00,0
13,ada2cz,8567531609,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
14,Talentedgreat16,8568397446,default9m,-,betsson.com,0,€1.00,€0.00,0
15,kingshell85,8568165689,default44,-,betfairpoker,0,€1.00,€0.00,0
16,cloudpurple299,8567933048,default1o,-,svenskaspel,0,€1.00,€0.00,0
17,Kokicar1,8568374560,defaultvx,-,redstar,0,€1.00,€0.00,0
18,doctorjolly175,8568378586,default8t,-,coolbet,0,€1.00,€0.00,0
19,Virtuoz928,8568383519,defaultvx,-,redstar,0,€1.00,€0.00,0
20,hernanchaca,8568390916,defaultbet365poker.bap,-,bet365poker.bap,0,€1.00,€0.00,0
21,Spee,8568356391,default5h,-,bet365poker.gr,0,€1.00,€0.00,0
22,bstcod,8568387105,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
23,Canderson666,8568048324,defaultbetfredew5,47101,betfredew5,0,€1.00,€0.00,0
24,finda1804,8568384732,Google,-,bifortuna.cz,0,€1.00,€0.00,0
25,bstcod,8568382689,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
26,jupiterdawn98,8568362578,CasinoAppAndroid_MX,304145,codere.mx,0,€1.00,€0.00,0
27,MicroStackGG,8568351171,default97,-,paf.com,0,€1.00,€0.00,0
28,helrei,8568376864,default8v,-,coolbet.ee,0,€1.00,€0.00,0
29,Nettie66,8568358594,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
30,bstcod,8568380993,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
31,bstcod,8568376231,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
32,Jozef6664,8568300224,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
33,bstcod,8568298301,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
1,JonathanRivera,8568162208,defaultteammexico.mx,-,teammexico.mx,3215400,€1.00,€0.00,0
1,JHARO11,8568151274,defaultteammexico.mx,-,teammexico.mx,7784600,€1.00,€0.00,0
3,leonchita,8568154469,defaultwhpoker,NA,whpoker,0,€1.00,€0.00,0
